mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MNAR,1.5,0.0,0.9,1000,pattern,,Linux-x86_64,1.358851181323486,0.1224375,12,0.943,2.973572115717008,0.093,0.8134202663606537,0.7678085015792057,0.8163025236877145,0.7815680881370103,0.7836914306521622,0.7991829220623976,0.0021233425151519648,0.18084118136338856,14,25,1000.0
MNAR,1.5,0.0,0.9,4000,pattern,,Linux-x86_64,1.5022979620377952,0.15184375,12,0.982,2.867321830264796,0.10125,0.5083581261941376,0.5964550688128142,0.5077495723053292,0.5973167875509041,0.8085326637571248,0.81516451304812,0.21121587620622076,5.960464477539063e-08,25,25,100.0
MNAR,1.5,0.0,0.5,1000,pattern,,Linux-x86_64,1.4099026125649259,0.1178125,57,0.702,14.345958887345661,0.098,0.48769768356185605,0.44632077700917333,0.4875136866221698,0.4430177778024681,0.49592763694860476,0.5202020014388279,0.05290985914613658,0.0011548399925231934,18,25,30.0
MNAR,1.5,0.0,0.5,4000,pattern,,Linux-x86_64,1.4763892992053036,0.11584375,60,0.8565,13.95740703241044,0.098,0.47802427782687723,0.5020782416357202,0.47988921067288987,0.5031419864518364,0.5340494853169138,0.5406330078986502,0.030907498865077522,1.8298625946044922e-05,21,25,100.0
MNAR,1.5,0.0,0.1,1000,pattern,,Linux-x86_64,1.4882228867573486,0.1161875,197,0.0,150.21272667168074,0.092,0.2592907864394436,0.24149814867814107,0.25523341627916935,0.23436550886763566,0.23245401627760587,0.26377902172653245,-0.0019114925900297587,0.5110890641174397,7,25,100.0
MNAR,1.5,0.0,0.1,4000,pattern,,Linux-x86_64,1.475190261487721,0.11921875,215,0.3665,161.16511830275894,0.10575,0.3523100854263306,0.36085999506070315,0.35203410521082523,0.3608293160995082,0.3733420662224023,0.38276237876843683,0.01251275012289409,0.015158438877439449,15,25,300.0
MNAR,1.5,1.5,0.9,1000,pattern,,Linux-x86_64,1.358851181323486,0.1224375,12,0.943,2.973572115717008,0.096,0.8272459774971656,0.8125264432474931,0.823296801911966,0.8144950151488805,0.8141866912383096,0.8297833640960479,-0.0003083239105707669,0.8314013177040228,11,25,1000.0
MNAR,1.5,1.5,0.9,4000,pattern,,Linux-x86_64,1.5022979620377952,0.15184375,12,0.982,2.867321830264796,0.09875,0.47828502247623456,0.6241595850781284,0.4773510919762169,0.623611425861476,0.8177881061030741,0.8213583368019767,0.1941766802415981,5.960464477539063e-08,25,25,100.0
MNAR,1.5,1.5,0.5,1000,pattern,,Linux-x86_64,1.4099026125649259,0.1178125,57,0.702,14.345958887345661,0.103,0.4880969743488325,0.4777586859911236,0.4885902644530541,0.4802487684923101,0.5017795713724297,0.5345809096521819,0.021530802880119642,0.10139739513397217,17,25,100.0
MNAR,1.5,1.5,0.5,4000,pattern,,Linux-x86_64,1.4763892992053036,0.11584375,60,0.8565,13.95740703241044,0.0995,0.45218292215605127,0.4780881540950505,0.4518746183906305,0.47626079355181894,0.5095869218434919,0.5161109209831849,0.03332612829167296,8.803606033325195e-05,21,25,300.0
MNAR,1.5,1.5,0.1,1000,pattern,,Linux-x86_64,1.4882228867573486,0.1161875,197,0.0,150.21272667168074,0.097,0.2788791617681342,0.2686878803937285,0.27805201434455656,0.2641073388198995,0.2508090903258506,0.2907761502898898,-0.013298248494048943,0.3143893322216611,7,25,100.0
MNAR,1.5,1.5,0.1,4000,pattern,,Linux-x86_64,1.475190261487721,0.11921875,215,0.3665,161.16511830275894,0.10275,0.35101415050653517,0.35492238466730036,0.3507451430545434,0.3538805308316121,0.3686977617492595,0.3748426111456926,0.014817230917647502,0.002025127410888672,21,25,300.0
