cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,67,53,53,0.024747294559929363
lung,baseline,40000,67,66,66,0.1297440663342538
lung,baseline,40000,67,64,64,0.016835951233307826
lung,baseline,40000,67,63,63,0.041256769064350184
lung,baseline,40000,67,62,62,0.08762904337494415
lung,baseline,40000,67,14,14,0.2955535566669331
lung,baseline,40000,67,66,66,0.15550158614775555
lung,baseline,40000,67,37,37,0.14578393700460213
lung,baseline,40000,67,62,62,0.10586858351444174
lung,baseline,40000,67,19,19,0.21933087869792342
lung,baseline,40000,67,47,47,0.03037314578142397
lung,baseline,40000,67,66,66,0.21300585947550182
lung,baseline,40000,67,66,66,0.15968057765467336
lung,baseline,40000,67,62,62,0.15001615945939112
lung,baseline,40000,68,67,67,0.2581941552451192
lung,baseline,40000,68,33,33,0.2465057506199271
lung,baseline,40000,68,19,19,0.4619338434894152
lung,baseline,40000,68,67,67,0.07568408500748651
lung,baseline,40000,68,28,28,0.15966165767622792
lung,baseline,40000,68,67,67,0.22443021973850016
lung,baseline,40000,68,67,67,0.15929779543900427
lung,baseline,40000,68,66,66,0.08001482605501176
lung,baseline,40000,68,65,65,0.027035204618587275
lung,baseline,40000,68,34,34,0.13119051398436132
lung,baseline,40000,68,33,33,0.13141264776262737
lung,baseline,40000,68,60,60,0.09064714102095965
lung,baseline,40000,68,37,37,0.12480826017517513
lung,baseline,40000,68,19,19,0.24189830188947478
lung,baseline,40000,68,67,67,0.21734047294573205
lung,baseline,40000,68,67,67,0.0851390034500841
lung,baseline,40000,68,63,63,0.1433010604305474
lung,baseline,40000,68,66,66,0.2409504851521831
lung,baseline,40000,68,67,67,0.204533538720622
lung,baseline,40000,68,67,67,0.19352779211986176
lung,baseline,40000,68,37,37,0.03524845228213072
lung,baseline,40000,68,35,35,0.035835947042527086
lung,baseline,40000,68,37,37,0.15493972444166845
lung,baseline,40000,68,35,35,0.15703168659096892
lung,baseline,40000,68,34,34,0.16140051187906201
lung,baseline,40000,68,67,67,0.12420353318929553
lung,baseline,40000,68,63,63,0.13752848601246948
lung,baseline,40000,68,67,67,0.15508795155875005
lung,baseline,40000,68,67,67,0.05741214230774936
lung,baseline,40000,68,63,63,0.06863507385453513
lung,baseline,40000,68,63,63,0.12771493088572822
lung,baseline,40000,68,51,51,0.037037594488450086
lung,baseline,40000,68,14,14,0.24263839414004876
lung,baseline,40000,68,67,67,0.007589546453553724
lung,baseline,40000,68,67,67,0.10124452350195356
lung,baseline,40000,68,67,67,0.16862628149876296
lung,baseline,40000,68,60,60,0.07637712117437562
lung,baseline,40000,68,37,37,0.11309331973052505
lung,baseline,40000,68,47,47,0.12768319207795364
lung,baseline,40000,68,46,46,0.13645741927227883
lung,baseline,40000,68,67,67,0.016025089716050173
lung,baseline,40000,68,65,65,0.0086674845786195
lung,baseline,40000,68,65,65,0.004173318402897222
lung,baseline,40000,68,65,65,0.011101449319948184
lung,baseline,40000,68,37,37,0.178858651563893
lung,baseline,40000,68,35,35,0.20453890286205376
lung,baseline,40000,68,28,28,0.1933511883124391
lung,baseline,40000,69,37,37,0.2627648708243316
lung,baseline,40000,69,35,35,0.24234038771452227
lung,baseline,40000,69,68,68,0.08124555130468156
lung,baseline,40000,69,68,68,0.18822644179041684
lung,baseline,40000,69,64,64,0.2371706601632863
lung,baseline,40000,69,63,63,0.250411294530173
lung,baseline,40000,69,68,68,0.14493682290203436
lung,baseline,40000,69,61,61,0.14450657329767327
lung,baseline,40000,69,68,68,0.09630370529515529
lung,baseline,40000,69,68,68,0.24208133625694325
lung,baseline,40000,69,63,63,0.20544908222087074
lung,baseline,40000,69,62,62,0.061415414340391675
lung,baseline,40000,69,68,68,0.12167329421145068
lung,baseline,40000,69,66,66,0.027028323597864765
lung,baseline,40000,69,68,68,0.23765545946072542
lung,baseline,40000,69,68,68,0.28477305896243726
lung,baseline,40000,69,47,47,0.14139084385072584
lung,baseline,40000,69,46,46,0.14659370076626485
lung,baseline,40000,69,27,27,0.1738617066632804
lung,baseline,40000,69,53,53,0.021145485626936505
lung,baseline,40000,69,14,14,0.2614762567448415
lung,baseline,40000,69,68,68,0.007127210346276807
lung,baseline,40000,69,68,68,0.013411557749593364
lung,baseline,40000,69,68,68,0.10619323783271914
lung,baseline,40000,69,66,66,0.01932310764959151
lung,baseline,40000,69,14,14,0.20965456809220126
lung,baseline,40000,69,68,68,0.08702260510724855
lung,baseline,40000,69,67,67,0.13731356546261608
lung,baseline,40000,69,65,65,0.0490185919352339
lung,baseline,40000,69,64,64,0.15660839145574934
lung,baseline,40000,69,63,63,0.159366350568529
lung,baseline,40000,69,61,61,0.10931039958807114
lung,baseline,40000,69,68,68,0.18637585866242867
lung,baseline,40000,69,66,66,0.09489069567369102
lung,baseline,40000,69,68,68,0.24398219463542017
lung,baseline,40000,69,68,68,0.21927819794767017
lung,baseline,40000,69,63,63,0.18788504189781238
lung,baseline,40000,69,68,68,0.010330411868683472
lung,baseline,40000,69,66,66,0.028916838925993338
lung,baseline,40000,69,66,66,0.017251611296365425
lung,baseline,40000,69,14,14,0.23559509440316623
lung,baseline,40000,69,46,46,0.19933648139483912
lung,baseline,40000,69,64,64,0.13785548391550326
lung,baseline,40000,69,63,63,0.04534167776345456
lung,baseline,40000,70,14,14,0.2674009169382009
lung,baseline,40000,70,47,47,0.1430379418311002
lung,baseline,40000,70,46,46,0.1467180422016507
lung,baseline,40000,70,28,28,0.1715460231347818
lung,baseline,40000,70,69,69,0.08289159237477563
lung,baseline,40000,70,67,67,0.0194872992122384
lung,baseline,40000,70,33,33,0.05244401314334602
