cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,67,62,62,0.08113265883617879
lung,baseline,40000,67,53,53,0.024747294559670063
lung,baseline,40000,67,66,66,0.12974402536185084
lung,baseline,40000,67,64,64,0.016835942294925497
lung,baseline,40000,67,63,63,0.041256815469014184
lung,baseline,40000,67,62,62,0.08762902664236902
lung,baseline,40000,67,14,14,0.2955535566545713
lung,baseline,40000,67,66,66,0.1555015861726987
lung,baseline,40000,67,37,37,0.1457839410660263
lung,baseline,40000,67,62,62,0.10586858355313007
lung,baseline,40000,67,19,19,0.21933087936203907
lung,baseline,40000,67,47,47,0.03037314578157555
lung,baseline,40000,67,66,66,0.2130058603769822
lung,baseline,40000,67,66,66,0.15968057256070095
lung,baseline,40000,67,62,62,0.1500161719106673
lung,baseline,40000,68,67,67,0.2581941555047856
lung,baseline,40000,68,33,33,0.24650575059343946
lung,baseline,40000,68,19,19,0.46193384354332406
lung,baseline,40000,68,67,67,0.07568408432289667
lung,baseline,40000,68,28,28,0.1596616573671812
lung,baseline,40000,68,67,67,0.2244302853870976
lung,baseline,40000,68,67,67,0.15929779580215592
lung,baseline,40000,68,66,66,0.0800148260501291
lung,baseline,40000,68,65,65,0.02703520461853583
lung,baseline,40000,68,34,34,0.13119051398435386
lung,baseline,40000,68,33,33,0.13141264776261516
lung,baseline,40000,68,60,60,0.09064714102095822
lung,baseline,40000,68,37,37,0.12480826017521574
lung,baseline,40000,68,19,19,0.24189830188948866
lung,baseline,40000,68,67,67,0.21734047294742384
lung,baseline,40000,68,67,67,0.08513900166635746
lung,baseline,40000,68,63,63,0.14330106043271962
lung,baseline,40000,68,66,66,0.24095048515212716
lung,baseline,40000,68,67,67,0.20453355810363766
lung,baseline,40000,68,67,67,0.19352779748735568
lung,baseline,40000,68,37,37,0.03524845228226583
lung,baseline,40000,68,35,35,0.035835947042504285
lung,baseline,40000,68,37,37,0.1549397100874681
lung,baseline,40000,68,35,35,0.15703168551571992
lung,baseline,40000,68,34,34,0.16140051076402107
lung,baseline,40000,68,67,67,0.12420352490087162
lung,baseline,40000,68,63,63,0.13752845742408515
lung,baseline,40000,68,67,67,0.15508795151882596
lung,baseline,40000,68,67,67,0.05741214235738326
lung,baseline,40000,68,63,63,0.06858939573563
lung,baseline,40000,68,63,63,0.12771493071864648
lung,baseline,40000,68,51,51,0.03703759437807865
lung,baseline,40000,68,14,14,0.24263839414010233
lung,baseline,40000,68,67,67,0.007589549271339383
lung,baseline,40000,68,67,67,0.1012445220957923
lung,baseline,40000,68,67,67,0.16862759326364032
lung,baseline,40000,68,60,60,0.07637712117436728
lung,baseline,40000,68,37,37,0.1130933197306047
lung,baseline,40000,68,47,47,0.1276831920912494
lung,baseline,40000,68,46,46,0.13645741928641159
lung,baseline,40000,68,67,67,0.016025089716092452
