idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,colorectal,idea_R1_rooted_cv,0,4,0,0.1640445284448389,0.7805985819642435,8000,50000.0
R1,colorectal,idea_R1_mean_impute,0,4,1,0.12132105528282577,0.7587785435782096,8000,
R1,colorectal,idea_R1_ours_asis,0,4,1,0.12428711502422014,0.7539882002094153,8000,
R1,colorectal,idea_R1_rooted_kinf,0,4,1,0.12132025331677727,0.7587781378919487,8000,
R1,colorectal,idea_R1_rooted_cv,0,4,1,0.12126063252143719,0.7589485261215297,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,4,2,0.16038515224438765,0.7956709417404572,8000,
R1,colorectal,idea_R1_ours_asis,0,4,2,0.16101202138704518,0.7915889392779887,8000,
R1,colorectal,idea_R1_rooted_kinf,0,4,2,0.160378068918311,0.7956705372614181,8000,
R1,colorectal,idea_R1_rooted_cv,0,4,2,0.16010917136332536,0.7963011200833551,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,4,3,0.13972087728804308,0.7612071029755095,8000,
R1,colorectal,idea_R1_ours_asis,0,4,3,0.12686966067311978,0.755689402163801,8000,
R1,colorectal,idea_R1_rooted_kinf,0,4,3,0.13972072385891118,0.7612069007359902,8000,
R1,colorectal,idea_R1_rooted_cv,0,4,3,0.13972072385891118,0.7612069007359902,8000,inf
R1,colorectal,idea_R1_mean_impute,0,4,4,0.14096217513254578,0.759776056135219,8000,
R1,colorectal,idea_R1_ours_asis,0,4,4,0.13924322830303051,0.7505630348224095,8000,
R1,colorectal,idea_R1_rooted_kinf,0,4,4,0.1409621194296648,0.7597758538956996,8000,
R1,colorectal,idea_R1_rooted_cv,0,4,4,0.1409621194296648,0.7597758538956996,8000,inf
R1,colorectal,idea_R1_mean_impute,1,0,0,0.13235902285691714,0.7390139146330628,8000,
R1,colorectal,idea_R1_ours_asis,1,0,0,0.13032758416495355,0.7336665640280426,8000,
R1,colorectal,idea_R1_rooted_kinf,1,0,0,0.13235902285691714,0.7390139146330628,8000,
R1,colorectal,idea_R1_rooted_cv,1,0,0,0.13235902285691714,0.7390139146330628,8000,inf
R1,colorectal,idea_R1_mean_impute,1,0,1,0.16128004764115683,0.7808941244053146,8000,
R1,colorectal,idea_R1_ours_asis,1,0,1,0.15447410877630094,0.7811387532206417,8000,
R1,colorectal,idea_R1_rooted_kinf,1,0,1,0.16128004764115683,0.7808941244053146,8000,
R1,colorectal,idea_R1_rooted_cv,1,0,1,0.16128004764115683,0.7808941244053146,8000,inf
R1,colorectal,idea_R1_mean_impute,1,0,2,0.1597606452740625,0.7669213806002145,8000,
R1,colorectal,idea_R1_ours_asis,1,0,2,0.1358326399167672,0.7519204664775861,8000,
R1,colorectal,idea_R1_rooted_kinf,1,0,2,0.1597606452740625,0.7669213806002145,8000,
R1,colorectal,idea_R1_rooted_cv,1,0,2,0.1597606452740625,0.7669213806002145,8000,inf
R1,colorectal,idea_R1_mean_impute,1,0,3,0.1403898702679096,0.7841186159050867,8000,
R1,colorectal,idea_R1_ours_asis,1,0,3,0.1353884217585303,0.7735002321709683,8000,
R1,colorectal,idea_R1_rooted_kinf,1,0,3,0.1403898702679096,0.7841186159050867,8000,
R1,colorectal,idea_R1_rooted_cv,1,0,3,0.1403898702679096,0.7841186159050867,8000,inf
R1,colorectal,idea_R1_mean_impute,1,0,4,0.1300574608602082,0.7758765465256059,8000,
R1,colorectal,idea_R1_ours_asis,1,0,4,0.122444962237822,0.7709427112068198,8000,
R1,colorectal,idea_R1_rooted_kinf,1,0,4,0.1300574608602082,0.7758765465256059,8000,
R1,colorectal,idea_R1_rooted_cv,1,0,4,0.1300574608602082,0.7758765465256059,8000,inf
R1,colorectal,idea_R1_mean_impute,1,1,0,0.1324303584214834,0.7570746612823986,8000,
R1,colorectal,idea_R1_ours_asis,1,1,0,0.12103761079337773,0.7489698611619909,8000,
R1,colorectal,idea_R1_rooted_kinf,1,1,0,0.1324303584214834,0.7570746612823986,8000,
R1,colorectal,idea_R1_rooted_cv,1,1,0,0.1324303584214834,0.7570746612823986,8000,inf
R1,colorectal,idea_R1_mean_impute,1,1,1,0.15052667519153146,0.7862579053039016,8000,
R1,colorectal,idea_R1_ours_asis,1,1,1,0.1531674158733831,0.7829850313940313,8000,
R1,colorectal,idea_R1_rooted_kinf,1,1,1,0.15052667519153146,0.7862579053039016,8000,
R1,colorectal,idea_R1_rooted_cv,1,1,1,0.15052667519153146,0.7862579053039016,8000,inf
R1,colorectal,idea_R1_mean_impute,1,1,2,0.1526571968085365,0.773396281057923,8000,
R1,colorectal,idea_R1_ours_asis,1,1,2,0.1463055197898893,0.7602931825866921,8000,
R1,colorectal,idea_R1_rooted_kinf,1,1,2,0.1526571968085365,0.773396281057923,8000,
R1,colorectal,idea_R1_rooted_cv,1,1,2,0.1526571968085365,0.773396281057923,8000,inf
R1,colorectal,idea_R1_mean_impute,1,1,3,0.13545220000757802,0.7594951454425729,8000,
R1,colorectal,idea_R1_ours_asis,1,1,3,0.13354911156276575,0.7558778893960156,8000,
R1,colorectal,idea_R1_rooted_kinf,1,1,3,0.13545220000757802,0.7594951454425729,8000,
R1,colorectal,idea_R1_rooted_cv,1,1,3,0.13545220000757802,0.7594951454425729,8000,inf
R1,colorectal,idea_R1_mean_impute,1,1,4,0.13568783640991425,0.753250393558105,8000,
R1,colorectal,idea_R1_ours_asis,1,1,4,0.13488303805391763,0.7504052879971654,8000,
R1,colorectal,idea_R1_rooted_kinf,1,1,4,0.13568783640991425,0.753250393558105,8000,
R1,colorectal,idea_R1_rooted_cv,1,1,4,0.13342617013433547,0.7528612847225031,8000,50000.0
R1,colorectal,idea_R1_mean_impute,1,2,0,0.14003795915528022,0.7652674953214231,8000,
R1,colorectal,idea_R1_ours_asis,1,2,0,0.1349734999144742,0.7628102536391073,8000,
R1,colorectal,idea_R1_rooted_kinf,1,2,0,0.14003795915528022,0.7652674953214231,8000,
R1,colorectal,idea_R1_rooted_cv,1,2,0,0.14003795915528022,0.7652674953214231,8000,inf
R1,colorectal,idea_R1_mean_impute,1,2,1,0.12992532847653673,0.7643830992726451,8000,
R1,colorectal,idea_R1_ours_asis,1,2,1,0.12522955330388358,0.7637054003737993,8000,
R1,colorectal,idea_R1_rooted_kinf,1,2,1,0.12992532847653673,0.7643830992726451,8000,
R1,colorectal,idea_R1_rooted_cv,1,2,1,0.12992532847653673,0.7643830992726451,8000,inf
R1,colorectal,idea_R1_mean_impute,1,2,2,0.1455843494843481,0.7627993347128764,8000,
R1,colorectal,idea_R1_ours_asis,1,2,2,0.13100468651421113,0.7575233101270227,8000,
R1,colorectal,idea_R1_rooted_kinf,1,2,2,0.1455843494843481,0.7627993347128764,8000,
R1,colorectal,idea_R1_rooted_cv,1,2,2,0.1455843494843481,0.7627993347128764,8000,inf
R1,colorectal,idea_R1_mean_impute,1,2,3,0.151225670029707,0.7737142015826455,8000,
R1,colorectal,idea_R1_ours_asis,1,2,3,0.14326058827010538,0.7610807032757949,8000,
R1,colorectal,idea_R1_rooted_kinf,1,2,3,0.151225670029707,0.7737142015826455,8000,
R1,colorectal,idea_R1_rooted_cv,1,2,3,0.14732303198327262,0.7743641993984588,8000,50000.0
R1,colorectal,idea_R1_mean_impute,1,2,4,0.14568258832606354,0.7738476796655442,8000,
R1,colorectal,idea_R1_ours_asis,1,2,4,0.13418500349643814,0.7545981177163438,8000,
R1,colorectal,idea_R1_rooted_kinf,1,2,4,0.14568258832606354,0.7738476796655442,8000,
R1,colorectal,idea_R1_rooted_cv,1,2,4,0.14568258832606354,0.7738476796655442,8000,inf
