cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,baseline,40000,65,49,49,0.009624992203076626
prostate,baseline,40000,65,38,38,0.17144632548721472
prostate,baseline,40000,65,64,64,0.0028904671211866452
prostate,baseline,40000,65,64,64,0.007868573062473407
prostate,baseline,40000,65,63,63,0.0019793782868437228
prostate,baseline,40000,65,34,34,0.022611709248906552
prostate,baseline,40000,65,55,55,0.276655038345314
prostate,baseline,40000,65,46,46,0.347722099594529
prostate,baseline,40000,65,20,20,0.059071225174067286
prostate,baseline,40000,65,63,63,0.13593588462450185
prostate,baseline,40000,65,34,34,0.18086256217566896
prostate,baseline,40000,65,64,64,0.13113668944969217
prostate,baseline,40000,65,20,20,0.1767841512474213
prostate,baseline,40000,65,64,64,0.11080620128760926
prostate,baseline,40000,65,62,62,0.10134842706840441
prostate,baseline,40000,65,60,60,0.15170011131803512
prostate,baseline,40000,66,20,20,0.1778558733535013
prostate,baseline,40000,66,20,20,0.11839654515817663
prostate,baseline,40000,66,65,65,0.11650229740734874
prostate,baseline,40000,66,63,63,0.11639396932159168
prostate,baseline,40000,66,65,65,0.1292941526299727
prostate,baseline,40000,66,60,60,0.12260507482297973
prostate,baseline,40000,66,37,37,0.07087278366090828
prostate,baseline,40000,66,26,26,0.0927420331006837
prostate,baseline,40000,66,34,34,0.12031341547281886
prostate,baseline,40000,66,34,34,0.02650885164436247
prostate,baseline,40000,66,65,65,0.010252078589340383
prostate,baseline,40000,66,65,65,0.018948052088370696
prostate,baseline,40000,66,65,65,0.04372877798902224
prostate,baseline,40000,66,57,57,0.008269209535815319
prostate,baseline,40000,66,26,26,0.27458669424372095
prostate,baseline,40000,66,34,34,0.02381420657256985
prostate,baseline,40000,66,33,33,0.02819581379749802
prostate,baseline,40000,66,65,65,0.11915741733412956
prostate,baseline,40000,66,57,57,0.027099083263459993
prostate,baseline,40000,66,56,56,0.0509829816911813
prostate,baseline,40000,66,32,32,0.07314743148188839
prostate,baseline,40000,66,31,31,0.05654377984384104
prostate,baseline,40000,66,65,65,0.002848556268732358
prostate,baseline,40000,66,53,53,0.009858893267046576
prostate,baseline,40000,66,33,33,0.029061136283891703
prostate,baseline,40000,66,65,65,0.19942582539510564
prostate,baseline,40000,66,62,62,0.09545129304824156
prostate,baseline,40000,66,65,65,0.16781554048818764
prostate,baseline,40000,66,62,62,0.09728567839099482
prostate,baseline,40000,66,26,26,0.14026246641086473
prostate,baseline,40000,66,65,65,0.18878843748125684
prostate,baseline,40000,66,63,63,0.14978128398476942
prostate,baseline,40000,66,20,20,0.03894825270925029
prostate,baseline,40000,66,20,20,0.2025685113561988
prostate,baseline,40000,66,38,38,0.2309632542636462
prostate,baseline,40000,66,34,34,0.22833158695456846
prostate,baseline,40000,66,65,65,0.04115366529373682
prostate,baseline,40000,66,65,65,0.09048026064982621
prostate,baseline,40000,66,63,63,0.0261004263268174
prostate,baseline,40000,66,65,65,0.13423476955885877
prostate,baseline,40000,66,46,46,0.12624397010259322
prostate,baseline,40000,66,20,20,0.17484170504336088
prostate,baseline,40000,66,65,65,0.029359064471183208
prostate,baseline,40000,66,65,65,0.007878421729094974
prostate,baseline,40000,66,65,65,0.07737208297673498
prostate,baseline,40000,66,62,62,0.007954300088798527
prostate,baseline,40000,66,34,34,0.024230643127648797
prostate,baseline,40000,66,33,33,0.029054477281456315
prostate,baseline,40000,66,64,64,0.1517453627830727
prostate,baseline,40000,67,38,38,0.02927723821723759
prostate,baseline,40000,67,34,34,0.11776207387697879
prostate,baseline,40000,67,34,34,0.023528043851178192
prostate,baseline,40000,67,66,66,0.059345276912754714
prostate,baseline,40000,67,65,65,0.019821968317187407
prostate,baseline,40000,67,64,64,0.0905295798178935
prostate,baseline,40000,67,63,63,0.027827362075068876
prostate,baseline,40000,67,59,59,0.052178765189290904
prostate,baseline,40000,67,64,64,0.010701677057902384
prostate,baseline,40000,67,38,38,0.025104214653778278
prostate,baseline,40000,67,34,34,0.11536582830845502
prostate,baseline,40000,67,34,34,0.023323368387268718
