dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_porto,holdout,0,4,tree,,12000,245,0.053614830876669295,0.1553115831232793,0.0351026422010225,0.05418038823354933,0.1579011846947469,0.03611481070179344
cand_porto,holdout,0,4,global,,12000,245,0.053614830876669295,0.15465356967041677,0.03501978507194307,0.05418038823354933,0.15615564655930902,0.0355937632142327
cand_porto,holdout,0,4,pattern_k0,0,12000,245,0.05283712597123498,0.15480296916259534,0.035061873853688114,0.05742975277397207,0.1609160269148807,0.03732358505412082
cand_porto,holdout,0,4,hier_cv,1000,12000,245,0.05361139855197477,0.15463934858183173,0.03501904657865642,0.054355978432361854,0.15607448832758747,0.03558897018620527
cand_porto,holdout,1,0,tree,,12000,225,0.06294407693351531,0.15258419181746408,0.0348077840992551,0.05077318868628537,0.12632730090886157,0.026848007720047508
cand_porto,holdout,1,0,global,,12000,225,0.06294407693351531,0.15289231999097846,0.03481415970201292,0.05077318868628537,0.12369036964045013,0.026139868518947604
cand_porto,holdout,1,0,pattern_k0,0,12000,225,0.05986468116532323,0.15303353793594485,0.034834946994319355,0.04986783135106981,0.12415774506350125,0.02636082105116192
cand_porto,holdout,1,0,hier_cv,10000,12000,225,0.0629968599298568,0.1528393763054688,0.034811770921748385,0.05077318868628537,0.12368201083532154,0.026139640105972656
cand_porto,holdout,1,1,tree,,12000,265,0.065379654514478,0.1538339383669936,0.03483695721911537,0.21546988507953654,0.17480142248020253,0.044246422490240724
cand_porto,holdout,1,1,global,,12000,265,0.065379654514478,0.15346442588143208,0.034823069185367116,0.21546988507953654,0.17903020630228916,0.04492443604819974
cand_porto,holdout,1,1,pattern_k0,0,12000,265,0.05991182252860559,0.15397636291510036,0.03487416600758425,0.11175058622962955,0.1921871160755307,0.04608477615076192
cand_porto,holdout,1,1,hier_cv,10000,12000,265,0.06548372681898222,0.1534514689213836,0.03482150849061968,0.21546988507953654,0.17902481524159708,0.04492396142799501
cand_porto,holdout,1,2,tree,,12000,153,0.06033027073748026,0.1536414683585422,0.03486608415678833,0.06947972096887622,0.2115528443099656,0.05058333980646592
cand_porto,holdout,1,2,global,,12000,153,0.06033027073748026,0.15340688299651087,0.034840304438388474,0.06947972096887622,0.20826340818743647,0.049961358073006876
cand_porto,holdout,1,2,pattern_k0,0,12000,153,0.0573681221694371,0.1540020893368018,0.034882079075520496,0.05890539813466818,0.23593824899055657,0.05076208548956451
cand_porto,holdout,1,2,hier_cv,10000,12000,153,0.060179718847557066,0.15341590143077188,0.03484132790010589,0.06994592143507669,0.20828371249691321,0.04996238181083337
cand_porto,holdout,1,3,tree,,12000,233,0.061739615636488984,0.15405567822242486,0.03492962777267961,0.2864722184159619,0.22372490362794598,0.05759405981002269
cand_porto,holdout,1,3,global,,12000,233,0.061739615636488984,0.1537203996272736,0.03490728982215802,0.2864722184159619,0.22756404412431297,0.05861587292242972
cand_porto,holdout,1,3,pattern_k0,0,12000,233,0.0582818822050557,0.1546562259914111,0.034978666830164366,0.08126249869273769,0.274939816906727,0.062400412037133014
cand_porto,holdout,1,3,hier_cv,10000,12000,233,0.06187374974337121,0.1537055752102561,0.03490531865286636,0.2864722184159619,0.22757039324149028,0.05861627040070039
cand_porto,holdout,1,4,tree,,12000,212,0.066508729764,0.15216252041004594,0.034809087860081904,0.0774201252787261,0.17334526288416105,0.040880625139591224
cand_porto,holdout,1,4,global,,12000,212,0.066508729764,0.1526345213308794,0.034844175917641676,0.0774201252787261,0.1722952869256415,0.04049218168314899
cand_porto,holdout,1,4,pattern_k0,0,12000,212,0.06633578756620648,0.15247402879239885,0.0348317304031247,0.0859443349081494,0.16983017199876457,0.04030337649273561
cand_porto,holdout,1,4,hier_cv,1000,12000,212,0.06592527570747697,0.15257399319488535,0.03484305525173925,0.07820153028402563,0.17219996670725748,0.040487517940245896
cand_porto,holdout,2,0,tree,,12000,216,0.06509662492700438,0.15289719380848635,0.03478685217301965,0.11382814500007034,0.19190511211120895,0.04753968644592002
cand_porto,holdout,2,0,global,,12000,216,0.06509662492700438,0.15279716674404736,0.034780769123384396,0.11382814500007034,0.19313026683070078,0.0476279705342219
cand_porto,holdout,2,0,pattern_k0,0,12000,216,0.06200269491159845,0.15349373394384264,0.03482183092353746,0.11584353048254523,0.2111106969184686,0.04824054700934989
cand_porto,holdout,2,0,hier_cv,1000,12000,216,0.06545296391115439,0.15276147262825124,0.03477628207480862,0.11489038261901517,0.19324342731602578,0.047638178306927056
cand_porto,holdout,2,1,tree,,12000,247,0.06050908621225255,0.15264635080892747,0.03488697237820854,0.05204028725876521,0.191156653691036,0.04460036996198024
cand_porto,holdout,2,1,global,,12000,247,0.06050908621225255,0.15272936669418477,0.03482907891899736,0.05204028725876521,0.18605642121870697,0.04329053851102514
cand_porto,holdout,2,1,pattern_k0,0,12000,247,0.05964141013336836,0.15266753040249162,0.03483053736107925,0.0561673543505561,0.19183128338974276,0.04415400395187846
cand_porto,holdout,2,1,hier_cv,1000,12000,247,0.06055104208738257,0.15260177939233727,0.034824380084633226,0.051764442013020606,0.18635830659096558,0.043320073537052126
cand_porto,holdout,2,2,tree,,12000,154,0.06484608191612497,0.15297762689343863,0.03478912592059216,0.2871054916980421,0.25406493817693326,0.06925361155162094
cand_porto,holdout,2,2,global,,12000,154,0.06484608191612497,0.15297922104210873,0.03479868325378724,0.2871054916980421,0.2630576464083519,0.07069321223118637
cand_porto,holdout,2,2,pattern_k0,0,12000,154,0.061766206522705557,0.15328697389043547,0.034832361091606166,0.19008477041837318,0.28041818924505924,0.07171806159347047
cand_porto,holdout,2,2,hier_cv,1000,12000,154,0.06517707171787679,0.1528404685720028,0.034787856200657344,0.274273124887912,0.26291875729205905,0.0706842660201081
cand_porto,holdout,2,3,tree,,12000,216,0.058854093173567046,0.15500045200102922,0.0350065542223803,0.15400569197380437,0.19015797960308373,0.043762435762950413
cand_porto,holdout,2,3,global,,12000,216,0.058854093173567046,0.15441147472151182,0.03496410979018422,0.15400569197380437,0.18793947331808236,0.04383771636122679
cand_porto,holdout,2,3,pattern_k0,0,12000,216,0.055047443382622484,0.15482936614074747,0.03501126879862461,0.053389234043370336,0.1960465691161079,0.045117982970804486
cand_porto,holdout,2,3,hier_cv,1000,12000,216,0.058683496682152864,0.1544897168648495,0.03496772872591962,0.15466810561855499,0.18799861111477903,0.043838397598655675
cand_porto,holdout,2,4,tree,,12000,258,0.058787739897009875,0.15396616805654226,0.034980062280818895,0.04931833968807192,0.11791350728513063,0.024367751001302233
cand_porto,holdout,2,4,global,,12000,258,0.058787739897009875,0.1536755454129135,0.03493421601014233,0.04931833968807192,0.11481146433300016,0.0234030914789684
cand_porto,holdout,2,4,pattern_k0,0,12000,258,0.057743076200730006,0.15392352234771187,0.03495662970555322,0.051141508077578834,0.11695379855028205,0.02357555809392789
cand_porto,holdout,2,4,hier_cv,1000,12000,258,0.05854092717905712,0.15372280264162647,0.034937401243683455,0.04911780912339364,0.11482015020500141,0.023403558507239672
