cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,full,40000,74,65,65,0.07533065593550434
prostate,full,40000,74,73,73,0.018452962798485285
prostate,full,40000,74,73,73,0.29494973655352424
prostate,full,40000,74,70,70,0.3325772356170931
prostate,full,40000,74,63,63,0.08116051627002363
prostate,full,40000,74,43,43,0.11226062860096826
prostate,full,40000,74,42,42,0.07330908738284736
prostate,full,40000,74,73,73,0.2594911516148055
prostate,full,40000,74,72,72,0.23540735627177067
prostate,full,40000,74,72,72,0.24510454374260757
prostate,full,40000,74,73,73,0.0036072539950036636
prostate,full,40000,74,42,42,0.02801216810211144
prostate,full,40000,74,23,23,0.16783276433744776
prostate,full,40000,74,48,48,0.0278476460180673
prostate,full,40000,74,44,44,0.028513329058219804
prostate,full,40000,74,44,44,0.1033456955237586
prostate,full,40000,74,73,73,0.1180378683670191
prostate,full,40000,74,65,65,0.09138892290061815
prostate,full,40000,74,44,44,0.024778272578463913
prostate,full,40000,74,43,43,0.025185289247194535
prostate,full,40000,74,42,42,0.13563511643834708
prostate,full,40000,74,41,41,0.13886238262561554
prostate,full,40000,75,70,70,0.02554047460146614
prostate,full,40000,75,69,69,0.0559913737652202
prostate,full,40000,75,69,69,0.0913853488865317
prostate,full,40000,75,64,64,0.10019106360168985
prostate,full,40000,75,70,70,0.12160060015606454
prostate,full,40000,75,69,69,0.12183325775223124
prostate,full,40000,75,69,69,0.11462009284566176
prostate,full,40000,75,58,58,0.11405564894550477
prostate,full,40000,75,73,73,0.152782420893649
prostate,full,40000,75,44,44,0.20370113734429773
prostate,full,40000,75,74,74,0.010609131042828896
prostate,full,40000,75,74,74,0.008895863207856267
prostate,full,40000,75,73,73,0.002325971634346849
prostate,full,40000,75,74,74,0.02465276623262819
prostate,full,40000,75,74,74,0.006440434732419997
prostate,full,40000,75,71,71,0.07449349229388212
prostate,full,40000,75,59,59,0.009979024448465218
prostate,full,40000,75,47,47,0.14915736928952106
prostate,full,40000,75,65,65,0.014048075352187139
prostate,full,40000,75,48,48,0.15075111496347163
prostate,full,40000,75,74,74,0.016153834509504503
prostate,full,40000,75,73,73,0.07365697815293334
prostate,full,40000,75,70,70,0.18305612584124764
prostate,full,40000,75,69,69,0.18807774245577127
prostate,full,40000,75,69,69,0.19096109789524215
prostate,full,40000,75,30,30,0.17702055592338833
prostate,full,40000,75,74,74,0.14077989728903395
prostate,full,40000,75,65,65,0.2797881455568345
prostate,full,40000,75,56,56,0.3098355299793259
prostate,full,40000,75,42,42,0.03976522027284136
prostate,full,40000,75,70,70,0.1726687222595248
prostate,full,40000,75,74,74,0.17590471762009952
prostate,full,40000,75,74,74,0.048611323350387654
prostate,full,40000,75,73,73,0.0035202855327743456
prostate,full,40000,75,70,70,0.016139458330087304
prostate,full,40000,75,67,67,0.01703702821414923
prostate,full,40000,75,30,30,0.06064928183874177
prostate,full,40000,75,44,44,0.026786972738173386
prostate,full,40000,75,74,74,0.028896365943805652
prostate,full,40000,75,74,74,0.077135892812218
prostate,full,40000,75,74,74,0.008735989864942279
prostate,full,40000,75,74,74,0.009153881326142827
prostate,full,40000,75,72,72,0.02282006309186725
prostate,full,40000,75,74,74,0.0024189209306235146
prostate,full,40000,75,74,74,0.015981235105347283
prostate,full,40000,76,75,75,0.039765534045030235
prostate,full,40000,76,30,30,0.03530721701681728
prostate,full,40000,76,66,66,0.05328649758239819
prostate,full,40000,76,42,42,0.06865667199794435
prostate,full,40000,76,41,41,0.05795972875057334
prostate,full,40000,76,75,75,0.1505810707949621
prostate,full,40000,76,48,48,0.2601297098709972
prostate,full,40000,76,44,44,0.25902786393218935
prostate,full,40000,76,30,30,0.21826375232301937
prostate,full,40000,76,75,75,0.20895435544846377
prostate,full,40000,76,72,72,0.098652478051863
prostate,full,40000,76,75,75,0.1660301931355261
prostate,full,40000,76,72,72,0.08927643024330106
prostate,full,40000,76,75,75,0.008900444629655096
prostate,full,40000,76,75,75,0.04374553358200797
prostate,full,40000,76,75,75,0.018974918798557797
