dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_higgs,holdout,0,4,pattern_k0,0,12000,0,0.8376411202787292,0.3722796863220442,0.11844759474465794,nan,nan,nan
cand_higgs,holdout,0,4,hier_cv,10,12000,0,0.837416663905542,0.37247083225619704,0.11849884701824413,nan,nan,nan
cand_higgs,holdout,0,4,switch_cv,k0,12000,0,0.8376411202787292,0.3722796863220442,0.11844759474465794,nan,nan,nan
cand_higgs,holdout,1,0,tree,,12000,0,0.8344034365322437,0.37655484017837443,0.11886798902172795,nan,nan,nan
cand_higgs,holdout,1,0,global,,12000,0,0.8344034365322437,0.37590987999653225,0.11882354313712717,nan,nan,nan
cand_higgs,holdout,1,0,pattern_k0,0,12000,0,0.8347150133697198,0.3755467791740942,0.11871455068312473,nan,nan,nan
cand_higgs,holdout,1,0,hier_cv,10,12000,0,0.8346846603469545,0.37559898054130614,0.11869990106925574,nan,nan,nan
cand_higgs,holdout,1,0,switch_cv,k0,12000,0,0.8347150133697198,0.3755467791740942,0.11871455068312473,nan,nan,nan
cand_higgs,holdout,1,1,tree,,12000,0,0.8341800451733375,0.3753864107057974,0.11891852653189584,nan,nan,nan
cand_higgs,holdout,1,1,global,,12000,0,0.8341800451733375,0.37480780874737435,0.11895141438265663,nan,nan,nan
cand_higgs,holdout,1,1,pattern_k0,0,12000,0,0.8345557754476582,0.3744145939286345,0.11868066187868655,nan,nan,nan
cand_higgs,holdout,1,1,hier_cv,10,12000,0,0.8343777698097286,0.3744151094149584,0.1187236413346612,nan,nan,nan
cand_higgs,holdout,1,1,switch_cv,k0,12000,0,0.8345557754476582,0.3744145939286345,0.11868066187868655,nan,nan,nan
cand_higgs,holdout,1,2,tree,,12000,0,0.8400021078479923,0.36814248210861494,0.11628063869307895,nan,nan,nan
cand_higgs,holdout,1,2,global,,12000,0,0.8400021078479923,0.36686243356024895,0.1162086467780429,nan,nan,nan
