dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
sweep_41275,holdout,1,3,switch_cv,k0,12000,50,0.7939550184937347,0.5130175809860191,0.17164921557684631,0.711945196510414,0.4466670072682227,0.141387546878794
sweep_41275,holdout,1,4,tree,,12000,63,0.8068427922233857,0.5032823530885494,0.16772544455741992,0.6857834577489837,0.5808811759471315,0.19571995272458506
sweep_41275,holdout,1,4,global,,12000,63,0.8068427922233857,0.5023730690325067,0.16749446190213352,0.6857834577489837,0.5939442128305981,0.19844077591735185
sweep_41275,holdout,1,4,pattern_k0,0,12000,63,0.8083417231072829,0.5006734145453067,0.16681703248380111,0.6879161769110476,0.5713898569159632,0.19063703321913125
sweep_41275,holdout,1,4,hier_cv,10,12000,63,0.8082406882563451,0.5011429286542193,0.16701891292224072,0.683361642696136,0.5761980240895328,0.19462413966324363
sweep_41275,holdout,1,4,switch_cv,k0,12000,63,0.8083417231072829,0.5006734145453067,0.16681703248380111,0.6879161769110476,0.5713898569159632,0.19063703321913125
sweep_41275,holdout,2,0,tree,,12000,59,0.7986112027250499,0.5085541431444471,0.1703621818100504,0.6223206677338986,0.5755892062139667,0.19654364948372302
sweep_41275,holdout,2,0,global,,12000,59,0.7986112027250499,0.5079736854459042,0.17031728464989396,0.6223206677338986,0.5849865629227008,0.19891846786687023
sweep_41275,holdout,2,0,pattern_k0,0,12000,59,0.7989786457175203,0.5074455591722634,0.17007071752149647,0.6032965543276643,0.6132469484311335,0.20348600870937433
sweep_41275,holdout,2,0,hier_cv,10,12000,59,0.7992876387856566,0.5072765018924682,0.17004875571960265,0.6246018965037845,0.5852322032230516,0.19824867148785102
sweep_41275,holdout,2,0,switch_cv,k0,12000,59,0.7989786457175203,0.5074455591722634,0.17007071752149647,0.6032965543276643,0.6132469484311335,0.20348600870937433
sweep_41275,holdout,2,1,tree,,12000,55,0.8060227305029943,0.5051299759548439,0.16846014188764621,0.7794694715497588,0.5455683874604131,0.17558720351579638
sweep_41275,holdout,2,1,global,,12000,55,0.8060227305029943,0.5043870342463723,0.1682765555040861,0.7794694715497588,0.5565156164056597,0.17694181038894824
sweep_41275,holdout,2,1,pattern_k0,0,12000,55,0.8080788353208327,0.5025565577938982,0.1675240895495235,0.7763896286188476,0.5204992632108465,0.17225098471163108
sweep_41275,holdout,2,1,hier_cv,10,12000,55,0.8077381847966311,0.5028962446254728,0.16766023230731017,0.7788361489431417,0.525517938275243,0.17275201281643815
sweep_41275,holdout,2,1,switch_cv,k0,12000,55,0.8080788353208327,0.5025565577938982,0.1675240895495235,0.7763896286188476,0.5204992632108465,0.17225098471163108
sweep_41275,holdout,2,2,tree,,12000,54,0.8008900997047069,0.5063930137665207,0.16908628002069148,0.6883501242196892,0.37642111733032924,0.11958153400364603
sweep_41275,holdout,2,2,global,,12000,54,0.8008900997047069,0.5055462085318768,0.1688855300476214,0.6883501242196892,0.37552309758461483,0.11963915305812993
sweep_41275,holdout,2,2,pattern_k0,0,12000,54,0.8030221088926915,0.5040695036404309,0.16823421611014824,0.6988042285809033,0.3998406248068634,0.12746382150807012
sweep_41275,holdout,2,2,hier_cv,10,12000,54,0.802890383192078,0.504052624337131,0.1682497440042417,0.6942495894108796,0.3810290503349297,0.12049227507232164
sweep_41275,holdout,2,2,switch_cv,k0,12000,54,0.8030221088926915,0.5040695036404309,0.16823421611014824,0.6988042285809033,0.3998406248068634,0.12746382150807012
sweep_41275,holdout,2,3,tree,,12000,64,0.8071538703769078,0.5055638314320533,0.1686263171238567,0.7678113559508242,0.5768016423230161,0.19921816948887888
sweep_41275,holdout,2,3,global,,12000,64,0.8071538703769078,0.504979560448172,0.16851956436266877,0.7678113559508242,0.5864128691928325,0.2020930378277258
sweep_41275,holdout,2,3,pattern_k0,0,12000,64,0.8087701925911619,0.5037470641096344,0.16800049047104385,0.741344918584379,0.5516690165452643,0.188848538482601
sweep_41275,holdout,2,3,hier_cv,10,12000,64,0.808489575263333,0.5041067966845312,0.16815954840585698,0.7453322331968864,0.5616059654399198,0.19396346268718878
sweep_41275,holdout,2,3,switch_cv,k0,12000,64,0.8087701925911619,0.5037470641096344,0.16800049047104385,0.741344918584379,0.5516690165452643,0.188848538482601
sweep_41275,holdout,2,4,tree,,12000,50,0.7970488710525206,0.5121459962225704,0.171377753344278,0.7517325596076312,0.42143845785977907,0.1387602989767857
sweep_41275,holdout,2,4,global,,12000,50,0.7970488710525206,0.5116957196011225,0.1712867758765191,0.7517325596076312,0.42167236936730007,0.13928602183746402
sweep_41275,holdout,2,4,pattern_k0,0,12000,50,0.797607044397627,0.5106702815171001,0.17071011232838054,0.768742610910761,0.43521927002844907,0.14009155975943452
sweep_41275,holdout,2,4,hier_cv,10,12000,50,0.7973769117242329,0.5107923929549647,0.17080282377741868,0.7554488274883011,0.4226782423443302,0.13715341651647306
sweep_41275,holdout,2,4,switch_cv,k0,12000,50,0.797607044397627,0.5106702815171001,0.17071011232838054,0.768742610910761,0.43521927002844907,0.14009155975943452
