dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_airbnb,holdout,0,3,pattern_k0,0,12000,200,0.9282175996098632,0.3445682971239452,0.10852312515785703,0.8369655344271019,0.41486906747987534,0.129536722040814
cand_airbnb,holdout,0,3,hier_cv,10,12000,200,0.9283571006202677,0.3444824562971603,0.10851500092572179,0.833658111159761,0.408803444868961,0.12670132592377845
cand_airbnb,holdout,0,3,switch_cv,global,12000,200,0.9282347335989374,0.34505185920367665,0.10872134605469931,0.8282589428253821,0.42176086526489587,0.12837191746421792
cand_airbnb,holdout,0,4,tree,,12000,207,0.9288835229713265,0.355995362482666,0.11184388478261209,0.9075817085011095,0.3550710992304617,0.11398340990361172
cand_airbnb,holdout,0,4,global,,12000,207,0.9288835229713265,0.34744756299524304,0.11024955236531202,0.9075817085011095,0.3544864033356503,0.11483995823702878
cand_airbnb,holdout,0,4,pattern_k0,0,12000,207,0.9292825337764179,0.34664144277607467,0.1100239984372341,0.9152629176839682,0.3504701408099364,0.11183196662657467
cand_airbnb,holdout,0,4,hier_cv,10,12000,207,0.9292245651502317,0.3467573510902485,0.11004483667057796,0.9112281041718889,0.3512032686349761,0.11246142557574168
cand_airbnb,holdout,0,4,switch_cv,k0,12000,207,0.9292825337764179,0.34664144277607467,0.1100239984372341,0.9152629176839682,0.3504701408099364,0.11183196662657467
cand_airbnb,holdout,1,0,tree,,12000,202,0.9264234426270118,0.3585894916290747,0.11234408900497694,0.84799308950886,0.4190993854427095,0.1302900229963414
cand_airbnb,holdout,1,0,global,,12000,202,0.9264234426270118,0.3509128835825856,0.11056418566681724,0.84799308950886,0.43264613782059647,0.13004441662462354
cand_airbnb,holdout,1,0,pattern_k0,0,12000,202,0.9266499909770826,0.3501238267656908,0.11028665787830035,0.8445718894440423,0.4287769712240817,0.12576108666338795
cand_airbnb,holdout,1,0,hier_cv,10,12000,202,0.9269911709021251,0.3499171443040488,0.11029324220574639,0.8572028442881525,0.4143991063402463,0.12629019721455403
cand_airbnb,holdout,1,0,switch_cv,k0,12000,202,0.9266499909770826,0.3501238267656908,0.11028665787830035,0.8445718894440423,0.4287769712240817,0.12576108666338795
cand_airbnb,holdout,1,1,tree,,12000,229,0.9287567715773947,0.3558516153186733,0.11162497617549699,0.9004715802013387,0.3407368007511612,0.10737459047707185
